,Movie,Day of Release,Language
340,Murder at Koh E Fiza,2020,Hindi
341,Tadkaa,2020,Hindi
342,Swagat Hain,2020,Hindi
343,Jio Baccho,2020,Hindi
344,Ghoomketu,2020,Hindi
345,Dare and Lovely,2020,Hindi
346,A Biopic from the Film Industry,2020,Hindi
347,Mahavir Karna,2020,Hindi
348,Shakeela: Biopic,2020,Hindi
349,Sarfarosh 2,2020,Hindi
350,Father's Day,2020,Hindi
351,Inshallah,2020,Hindi
352,Tuesdays And Saturdays,2020,Hindi
353,My Name is Raga,2020,Hindi
354,Ae Kaash Ke Hum,2020,Hindi
355,Gustakhiyan,2020,Hindi
356,Kanoon Ke Khiladi,2020,Hindi
357,Badmash Rowdy,2020,Hindi
358,Coat,2020,Hindi
359,Podi Mass,2020,"Hindi, "
360,Sar Car Ki Seva Mei,2020,Hindi
361,Hum Bhi Akele Tum Bhi Akele,2020,Hindi
362,Incredible India,2020,Hindi
363,MAJOR,2020,"Hindi, "
364,Chanda Mama Door Ke,2020,Hindi
365,Jhund,2020,Hindi
366,Atrangi Re,2020,Hindi
367,Dostana 2,2020,Hindi
368,Shiddat Journey Beyond Love,2020,Hindi
369,10 Nahi 40,2020,Hindi
370,The Pushkar Lodge,2020,Hindi
371,Taish,2020,Hindi
372,Womaniya,2020,Hindi
373,Hawayein,2020,Hindi
374,Cowboy Ninja Viking,2020,English
375,ELI,2020,English
376,Winchester,2020,English
377,"I, Tonya",2020,English
378,Proud Mary,2020,English
379,He's Out There,2020,English
380,Polaroid,2020,English
381,Father Figures,2020,English
382,Under the Silver Lake,2020,English
383,On the Basis of Sex,2020,English
384,I Am The Night,2020,English
385,Widows,2020,English
386,What They Had,2020,English
387,Unfriended: Dark Web,2020,English
388,The Sun Is Also A Star,2020,English
389,Kursk,2020,English
390,The Kid Who Would Be King,2020,English
391,According To Matthew,2020,English
392,Million Dollar Nomad,2020,English
393, Life of the Party,2020,English
394,"Roman J. Israel, Esq.",2020,English
395,Reprisal,2020,English
396,Free Dance,2020,English
397,The Disaster Artist,2020,English
398,The Call Of The Wild,2020,English
399,The Turning,2020,English
400,Underwater ,2020,English
401,The Secret Garden,2020,English
402,Ordinary Love,2020,English
403,Scoob!,2020,English
404,Kings,2020,English
405,Disobedience,2020,English
